"","Estado","Municipio","Colonia","id"
"65","PUEBLA","XICOTEPEC","LOMAS DE MONTE CRISTO","PU.XI.LD"
"66","PUEBLA","XICOTEPEC","HACIENDA BUENA VISTA","PU.XI.HH"
"67","PUEBLA","XICOTEPEC","CRISTINA ROSAS ILLESCA","PU.XI.CR"
"68","PUEBLA","XICOTEPEC","LOS PINOS","PU.XI.LP"
"69","PUEBLA","XICOTEPEC","TEPEYAC","PU.XI.TT"
"70","PUEBLA","XICOTEPEC","FRANCISCO VILLA","PU.XI.FF"
"71","PUEBLA","TLAXCO","TIERRA COLORADA","PU.TL.TT"
"72","PUEBLA","XICOTEPEC","LA FLORIDA","PU.XI.LI"
"73","PUEBLA","XICOTEPEC","OJO DE AGUA","PU.XI.OO"
"74","PUEBLA","XICOTEPEC","OJO DE AGUA 2DA SECCION","PU.XI.OJ"
"75","PUEBLA","XICOTEPEC","MANANTIAL","PU.XI.MA"
"76","PUEBLA","XICOTEPEC","5 DE MAYO","PU.XI.5D"
"77","PUEBLA","XICOTEPEC","EL TABACAL","PU.XI.EB"
"78","PUEBLA","XICOTEPEC","EL ENCINAL","PU.XI.EN"
"79","PUEBLA","XICOTEPEC","LA JOYA","PU.XI.LJ"
"80","PUEBLA","XICOTEPEC","LAS AZALEAS","PU.XI.LZ"
"81","PUEBLA","XICOTEPEC","LAS ARENAS","PU.XI.LK"
"82","PUEBLA","XICOTEPEC","EL MANANTIAL","PU.XI.EI"
